material_type,lathe_efficiency,machine_hours,energy_consumption,temperature,humidity,machine_type,operational_settings,wastage,certifications,safety_incidents,recycling_rate,first_pass_yield,downtime_duration,tool_maintenance_frequency,scrap_handling_efficiency,rd_investment,packaging_waste,lifecycle_analysis,renewable_energy,surface_emissions,return_rate,painting_emissions,heating_energy,inventory_turnover,distance_to_suppliers,carbon_capture_efficiency,secondary_process_emissions,worker_experience,tool_wear_level,supplier_reliability,on_time_delivery_rate,training_hours,factory_age,environmental_fines,automation_ratio,water_usage,scrap_rate,energy_source,shift_timing,transport_emissions,machines_in_operation,turnover_rate,compressor_efficiency,ventilation_usage,inspection_accuracy,noise_level,num_shifts,maintenance_downtime,customer_complaints,cooling_energy,labor_hours_per_unit,material_defect_rate,production_volume,cycle_time,calibration_frequency,startup_emissions,factory_location,operator_skill,renewable_energy_utilization,machine_age,supply_chain_emissions,water_reuse_rate,product_weight,batch_size,supply_chain_complexity,num_suppliers,inspection_frequency,training_costs,process_variability,packaging_material,hazardous_waste,line_speed,smart_sensor_usage,cooling_water_temp,workstation_count,logistics_emissions,lean_practices_frequency,power_outage_frequency,labor_costs,supplier_proximity,govt_subsidy_access,regulatory_inspections,scrap_reuse_rate,generator_fuel_consumption,skilled_labor_availability,component_type,raw_material_cost,pollution_control,quality_audit_frequency,local_transport_emissions,worker_wage,sustainability_awareness,CO2_emissions
Composite,0.929669928,12.20148921,114.1324814,22.94806356,41.4347317,CNC_1,Setting_3,0.237723544,ISO_14001,None,0.903745989,0.915826365,0.947421572,10.02291684,0.721541794,0.066968533,2.428012138,Advanced,0.054423332,2.876249748,0.039018848,1.644333746,27.57647078,7.31040722,484.4031284,0.110919698,6.19269217,Expert,83.72861947,0.93055243,0.770289936,44.63910979,4.962703227,6198.421075,0.955798296,0.949561982,0.132066203,Hydro,Night,0.074865753,2,0.019850633,0.895635326,14.60578411,0.928872421,92.83139363,3,0.75238205,1,49.60016115,0.771599123,0.054411156,696.9850566,133.6437507,3.096638153,5.748394149,Rural,High,0.720671405,5.526008877,2.050934611,0.153517439,45.58007883,491,Complex,10,14.87087333,673.4550126,0.055273751,Metal,3.749675453,0.709453158,High,18.44346779,12,71.39170206,0.908191702,9.104621823,816.4045841,301.3823818,No,6.249146617,0.321223964,14.71864325,Low,Chassis,111.6911128,Basic,2.542841894,1.608343044,377.7924538,High,1027.543205
Steel,0.792093706,6.244288989,79.674936,29.72423949,44.86642031,Milling_A,Setting_1,0.075870338,ISO_14001,None,0.937336263,0.933954062,0.900924812,6.63667362,0.564917538,0.039755349,3.785457131,Advanced,0.124458315,1.214654867,0.003225734,1.754465457,45.71114056,12.80959824,190.3753891,0.855899435,9.570003023,Beginner,33.09305896,0.820723458,0.886980678,13.11357214,10.68176746,14381.85361,0.033832207,1.764770073,0.156388356,Solar,Evening,0.089221318,23,0.164912286,0.675770757,0.11625107,0.957574324,71.42632947,3,0.395327938,1,36.46216342,1.598181507,0.016502767,845.2600843,32.97974302,4.438596625,1.394571215,Urban,Medium,0.828193235,8.142128225,20.86420158,0.33977121,1.482099068,130,Moderate,14,2.323291369,3285.613783,0.059409055,None,0.279451952,0.991122017,High,15.13076505,17,41.13224621,0.349909999,0.238597912,785.2596736,245.6606985,Yes,0.45429453,0.16602988,4.295235815,Moderate,Brake Systems,188.3634384,Advanced,3.072694448,1.715488613,431.3945836,High,739.6914909
Steel,0.933037558,8.309502833,114.3180805,27.13068244,50.22882795,Lathe_B,Setting_3,0.002624898,ISO_9001,Major,0.885329308,0.94501384,1.513933492,3.89931569,0.867023216,0.079149245,2.016949894,None,0.594054267,4.565149936,0.002775465,1.698322124,44.76409151,16.3569734,197.9335752,0.326359954,6.281289214,Beginner,70.11736669,0.929725175,0.61755844,23.92409782,13.24437389,21302.07185,0.370762648,3.722032035,0.101216613,Grid Electricity,Day,0.046329365,16,0.224919236,0.812647289,3.100294084,0.980813721,78.78036199,2,0.959749967,6,97.83981272,0.680387373,0.092349255,573.2891926,119.8498841,2.474728585,8.812466331,Urban,Low,0.378285591,13.80133078,9.923334204,0.297912082,15.94064868,323,Moderate,3,1.331017715,396.27316,0.046571256,None,2.067792002,0.98670529,High,27.90023908,15,39.94591173,0.945604264,1.4808552,508.5943035,274.8871063,Yes,4.444538292,0.277294323,9.213958144,Moderate,Brake Systems,54.65902831,Advanced,1.992676746,1.796101826,373.6623173,High,969.7763332
Plastic,0.880750531,7.4652419,111.5695209,28.13405372,62.75998368,Milling_A,Setting_3,0.068680208,ISO_14001,Minor,0.756383935,0.972545235,1.453396474,8.954764005,0.51309272,0.072396946,9.338630902,Basic,0.132137298,2.779888159,0.006251294,1.481955555,41.21785462,5.445257471,327.4729741,0.338225816,3.701190333,Intermediate,7.519344007,0.989969382,0.66364336,13.68666192,7.65101005,45504.23039,0.128066078,7.178343633,0.011373848,Wind,Night,0.045595325,13,0.109722788,0.865085171,1.881722209,0.959207243,57.5795403,1,0.861679052,3,53.24548145,1.271917979,0.091656423,360.34207,35.9445281,10.8411181,6.171574885,Suburban,Medium,0.823114372,5.166967382,49.26321902,0.271819773,1.240517687,461,Simple,4,19.64158695,3194.647956,0.063562847,None,0.565081336,1.23599956,Medium,28.3317987,33,61.38090381,0.784248984,3.981389077,614.3397864,139.4943947,Yes,4.100049587,0.093521643,18.8194986,Moderate,Suspension,65.16921989,Basic,1.676719662,1.005972533,687.3351664,Low,1008.649382
Plastic,0.849461401,13.81103862,86.39838569,26.18282591,62.24787182,Lathe_B,Setting_3,0.139220084,ISO_14001,None,0.249779895,0.867398456,0.835002041,8.073996475,0.669721804,0.020297048,5.940943205,Basic,0.388064311,1.0113336,0.000973393,0.762146959,22.20914357,13.24774004,49.13597993,0.375380239,2.513680255,Beginner,35.27201459,0.894300452,0.781840209,44.77187473,39.06123972,3512.381217,0.652497471,0.527145052,0.084192253,Solar,Night,0.076067168,42,0.151312667,0.617193674,23.82206859,0.935566383,51.97801602,1,1.404048767,1,25.92834294,1.462028429,0.016343315,692.1269436,22.51746402,10.26621441,7.295781074,Suburban,High,0.755416395,13.6737518,27.15858202,0.673689253,14.72149911,417,Simple,3,14.19494556,522.1724775,0.009697866,Plastic,0.670816695,0.628170489,Medium,16.47468331,68,9.248907626,0.695623258,7.680639854,203.888421,436.2367329,Partial,2.470057572,0.376261632,8.42300578,High,Brake Systems,165.1901684,Basic,3.34578461,0.341438604,530.8413478,High,664.7640672
Plastic,0.740936619,14.02654625,106.3189742,33.76436445,63.75286217,Lathe_A,Setting_2,0.016907383,None,Minor,0.925895656,0.851094277,1.601218859,6.098751622,0.846206216,0.056052217,2.145891627,None,0.66256667,3.459242229,0.041281567,1.806739992,27.96450199,4.406306557,209.8998322,0.962842683,2.359940764,Intermediate,37.92013484,0.930972047,0.830318913,49.44630597,8.789027428,1942.561848,0.554931442,1.921086898,0.048264668,Solar,Day,0.067765137,3,0.007586444,0.91569908,21.07980761,0.946971537,97.18542322,3,0.689693783,2,43.87797108,1.397929836,0.024671563,132.2176857,54.99390351,4.592644122,8.741707751,Suburban,High,0.772741056,11.84906488,24.73807387,0.536449254,47.93318965,419,Simple,8,11.02297631,3044.691466,0.073212567,Plastic,0.843241329,1.147102971,Low,12.82844423,70,63.78776117,0.89633502,7.283631159,618.393103,105.6271971,Yes,2.968204711,0.381229586,19.08683602,Low,Suspension,119.8852899,Moderate,3.433164679,4.539598686,550.5887639,None,929.53242
Composite,0.842622974,7.183202006,130.6143682,33.04429506,58.72706343,Lathe_B,Setting_2,0.109911989,ISO_14001,Major,0.911838658,0.931846648,1.144024348,10.19684081,0.826193467,0.036862983,8.388679089,None,0.01161145,4.530440187,0.027517682,0.115818813,33.92819962,17.85308649,179.9651834,0.910619853,9.082866867,Expert,75.9456121,0.803767224,0.67883612,39.30925164,30.673665,7432.731585,0.74506913,5.689481127,0.094662646,Wind,Evening,0.065916925,6,0.275760267,0.745429005,4.990314663,0.911451815,52.38831396,3,1.88909507,3,83.24868259,1.314743022,0.064800766,192.6763587,62.87062605,2.00572457,7.295056929,Suburban,Low,0.08569472,15.43712547,21.4566053,0.065131788,2.435406167,261,Moderate,2,16.8172316,4890.452846,0.020837463,Cardboard,1.037459961,2.548431047,High,12.88371195,24,80.75543497,0.313393906,2.405153139,347.475004,334.7674824,Partial,9.472682031,0.453441326,13.23402108,Moderate,Suspension,140.8733256,Moderate,2.270409531,3.126896652,414.2890319,None,1083.112056
Aluminum,0.826823561,9.135636229,75.43640973,22.30026678,58.12312393,CNC_1,Setting_2,0.046475436,ISO_14001,Major,0.111633656,0.901639772,1.868384028,9.639528747,0.513073868,0.097881701,0.91884913,Basic,0.112746592,0.787716732,0.0064997,1.728655858,17.52899917,6.345047023,60.58111528,0.619492926,0.34259728,Beginner,57.87518904,0.828565538,0.597977153,38.21925401,35.30396754,22834.30559,0.307153608,7.514336774,0.009459377,Hydro,Night,0.026088396,6,0.119688438,0.714667858,21.38992756,0.951350798,85.52633819,1,1.596339348,4,78.09303028,1.27253227,0.014798633,769.9020844,91.98509788,8.121207078,4.173965821,Rural,High,0.530152826,3.173874386,47.43459239,0.330134868,14.31052828,151,Complex,14,24.38919133,2863.599264,0.034189506,Cardboard,3.848149911,1.920406379,Low,17.22826232,21,99.61556229,0.013558583,3.593940361,831.6415371,236.4136189,No,5.455415113,0.096147038,19.0558267,Moderate,Suspension,133.3856069,Basic,3.057490739,3.35804142,766.6003365,Low,764.7136669
Aluminum,0.917117588,6.973893501,67.06405914,28.81024781,40.28119776,Lathe_B,Setting_1,0.024778847,ISO_9001,Minor,0.943009522,0.917025501,0.060439223,7.304082591,0.711708631,0.089079129,9.443381285,Basic,0.116891914,1.061660333,0.037008547,1.509960129,47.01092258,9.6704273,243.6637438,0.281604599,8.248727857,Intermediate,61.27538257,0.945068357,0.930205658,14.48976405,24.37700393,31775.42756,0.253504462,1.59434247,0.082701686,Hydro,Night,0.09056115,40,0.197208034,0.931660181,5.221469656,0.962446087,50.29787345,2,0.841721046,0,27.73554577,1.634096191,0.066134149,390.1539301,176.4664997,4.178997818,9.727772251,Urban,Low,0.043245158,1.950335659,40.01415821,0.911339962,26.13630143,187,Simple,1,5.697355875,2847.941118,0.079578145,Metal,3.796151253,3.99561541,Medium,27.87412118,4,9.937070135,0.501654818,0.699249652,914.9534657,400.4838026,No,3.446155164,0.110513538,8.08003306,High,Electrical,114.476752,Advanced,2.830227118,3.823567633,428.091946,None,713.6815988
Composite,0.761369906,13.22002279,88.00186345,24.11166322,57.63633807,Lathe_B,Setting_3,0.011764391,ISO_14001,Major,0.000502815,0.982985976,1.028670085,1.653689592,0.989428233,0.050820851,9.540408502,Basic,0.678184656,2.001434975,0.043879649,1.399136738,26.12324547,10.60271722,47.97904385,0.095471513,2.77734823,Expert,76.78781228,0.888507377,0.953799216,10.4147394,28.26928284,5230.955052,0.24151302,0.940222501,0.145393831,Grid Electricity,Day,0.054639196,46,0.139109082,0.866292411,22.75569011,0.988688573,68.15590309,2,0.952965415,2,64.38697207,0.413345877,0.059497059,473.6373264,76.47828075,6.286055912,3.857305111,Urban,Low,0.977799469,16.60401166,18.80394639,0.153379734,12.90479672,18,Complex,10,5.747084052,4864.06394,0.033554815,None,3.409356976,4.204879699,Low,17.38958807,38,15.14027824,0.554270416,4.257976013,724.7021293,138.2485032,Partial,0.037892409,0.259394772,9.705567341,Moderate,Chassis,168.0449391,Moderate,3.273979793,4.033733201,700.9333092,High,730.2679701
Aluminum,0.91438191,12.01748021,111.6830696,29.16686251,45.55586445,Lathe_B,Setting_2,0.030345552,ISO_14001,Major,0.067716885,0.949478409,1.267934898,7.256146495,0.807311996,0.058720292,9.352365079,Advanced,0.973919461,0.689807256,0.024817342,1.860125704,24.34168544,4.063254924,207.4747228,0.652976369,7.259013667,Expert,82.07795173,0.906521326,0.570295773,41.49693765,27.61830706,28170.1785,0.904157227,9.610879643,0.199793403,Solar,Evening,0.061242734,4,0.269493491,0.725098802,7.643929095,0.979195928,82.21403727,1,0.695667692,1,64.10498594,0.147685901,0.005696545,283.1521817,110.96586,9.031344073,3.035808563,Urban,Medium,0.468989031,1.773163076,21.91358469,0.775737995,30.94863902,335,Simple,7,9.428604406,1116.406126,0.091132078,None,3.590565153,2.465375418,Low,29.90217541,79,27.71385529,0.652076165,9.266325195,531.3823446,6.958498623,Yes,6.547308984,0.083190382,7.316219998,Moderate,Chassis,106.208247,None,3.774470965,0.128251854,621.2396459,Low,933.2673307
Plastic,0.908566715,4.26421549,59.11408063,24.81164652,41.58762312,Milling_A,Setting_3,0.075107836,ISO_9001,Minor,0.078139018,0.985446605,0.626909982,1.884164667,0.925309869,0.020423946,2.83145142,Basic,0.584900071,4.671109213,0.002409096,1.767594845,40.14856388,4.815191284,53.38362378,0.326606544,9.95968215,Expert,23.54694957,0.867171407,0.770388374,23.54361352,49.2225285,1960.068449,0.317093618,8.102513901,0.007012574,Hydro,Night,0.072202542,49,0.273390281,0.902104634,12.80331785,0.907266021,93.43674494,2,0.067815397,4,85.07960002,1.173448611,0.071629037,833.366243,138.1404955,1.621006801,8.048978557,Urban,Low,0.316201389,10.28282256,44.14087917,0.043472838,33.63945225,468,Simple,6,21.72956751,2335.417145,0.059065068,None,1.275718159,3.927632303,Low,24.51266671,88,13.92676966,0.561665182,4.504978862,345.1627994,411.9533046,Partial,6.785139784,0.406117677,3.703378808,High,Electrical,180.3573051,None,3.045469471,3.481469561,467.081412,None,629.1031397
Aluminum,0.895159496,12.00443064,96.42501766,28.09282262,46.56091489,Lathe_B,Setting_1,0.069190313,ISO_14001,Minor,0.187473262,0.935212678,1.316521813,2.185982783,0.707801657,0.084378898,9.590669488,None,0.915882478,2.727413637,0.032471596,1.288338307,49.33017557,14.12437329,466.6755478,0.55747896,6.282713887,Beginner,1.20334054,0.923695472,0.74091318,12.56363548,40.49094313,21616.57808,0.196800421,1.507963285,0.046531008,Grid Electricity,Night,0.040055715,21,0.060062031,0.85256644,0.154306327,0.977789224,85.74917193,3,1.739554445,3,11.42306579,1.736812157,0.073787724,290.4185167,157.9004902,10.397516,4.682794402,Rural,Medium,0.089993697,1.607638493,16.75403323,0.403959512,21.06072062,468,Complex,1,22.11392715,4359.805198,0.00898248,Cardboard,2.543109331,4.016447357,High,18.01995322,10,57.32563544,0.06799106,0.868789767,704.1388977,187.2659366,Partial,9.190705443,0.40852112,7.732072107,Moderate,Chassis,123.0069613,None,3.182031552,1.424598524,680.9904557,None,930.5482318
Aluminum,0.909584355,13.36223979,114.4602206,22.43912974,65.80504412,CNC_1,Setting_2,0.006571284,None,Major,0.49197755,0.978284474,0.215755589,8.247881781,0.873502,0.070455031,4.470698081,Basic,0.63403877,1.511323406,0.008176456,0.869840371,33.00920852,14.64111819,277.2023176,0.890627475,4.765282435,Beginner,38.91229179,0.934898732,0.927041392,15.98081609,1.776874958,34304.55217,0.324285469,4.236986438,0.096306286,Wind,Night,0.048270615,6,0.131110601,0.89217385,5.841620031,0.930753675,77.33352762,3,0.015463331,2,66.23111187,0.521617735,0.052909476,929.275381,57.99693911,3.520907813,0.257895703,Rural,Medium,0.816060146,15.3392717,19.34118305,0.639732116,15.5992023,254,Complex,5,9.044372572,4755.12365,0.034123652,None,1.92758843,2.238377609,Medium,11.76168042,99,1.047773738,0.360689939,7.598792425,832.883521,292.0467476,Partial,9.500161096,0.07915179,7.340239096,High,Chassis,81.70288089,None,2.088985898,4.729790183,430.3008217,None,923.4171114
Plastic,0.896763914,5.363910055,101.5820251,23.76392021,49.62899109,Lathe_A,Setting_3,0.125539879,None,Major,0.922132043,0.892506289,0.414108751,10.93477469,0.853914379,0.059629289,0.969094024,Basic,0.209770745,2.720586439,0.005574835,1.730984569,32.71187656,11.16291492,203.5004558,0.403947231,9.021164371,Expert,3.570933573,0.843324528,0.602833794,48.28986705,42.68194412,42759.81578,0.864287726,4.115343846,0.133308857,Hydro,Day,0.032758194,18,0.056070139,0.918065482,3.219228706,0.975769408,70.94658047,1,0.591963313,1,10.77728048,1.603156304,0.007119921,408.6691181,151.056638,6.72754625,3.469272941,Rural,Medium,0.405906084,10.77475528,20.41254008,0.229199775,27.60204565,168,Complex,12,11.58895446,852.7820148,0.00500126,Metal,1.587867347,3.225930487,Medium,27.13312924,32,81.05009993,0.989071272,7.23925424,330.8337827,400.5273111,No,8.157194979,0.382653587,18.29578577,Low,Brake Systems,124.2314574,None,2.268831118,2.221815175,400.4512023,Low,885.4770481
Plastic,0.82539242,7.875802599,109.4179735,22.21395566,42.51900087,Lathe_B,Setting_2,0.048989973,ISO_9001,Major,0.753670723,0.93320815,1.512824294,4.420178867,0.97171564,0.089874934,3.913303077,Advanced,0.725065284,4.568704066,0.005331211,1.758705611,49.18693594,18.81090392,440.2536061,0.265635169,6.234764351,Intermediate,2.06751828,0.822959946,0.575379098,33.24884178,20.18757065,38408.44543,0.993662456,8.078328824,0.074913974,Solar,Night,0.01972826,39,0.078097537,0.654379801,17.92549487,0.937381293,70.3396656,3,1.314325037,2,39.89839503,0.852728512,0.062071739,519.5769796,89.35128677,5.719384459,4.768192663,Suburban,Low,0.774876976,10.66966845,27.09794592,0.400779911,9.703006932,434,Simple,5,9.190654954,534.9608009,0.091354524,None,4.66162037,4.412817324,Medium,26.22870924,97,23.04691489,0.50762261,6.011550288,304.9111978,195.2975608,Partial,7.597694813,0.2988579,1.918765975,Low,Chassis,83.30522356,None,2.778023362,3.740566588,563.3459938,Moderate,988.8993357
Plastic,0.765007328,8.635511033,109.6430774,31.45826654,41.80902846,CNC_1,Setting_2,0.006169463,ISO_14001,Major,0.334637621,0.944805395,0.077162671,3.400131159,0.532215043,0.038583255,9.93478641,Advanced,0.73960755,1.906911758,0.033045607,1.251121029,16.05870266,4.521674535,438.1240301,0.441237696,8.607825539,Expert,49.70884032,0.984717993,0.589590942,40.35071292,8.585361234,28324.26183,0.732062743,9.920048681,0.021884233,Hydro,Evening,0.097877386,13,0.087442217,0.662041197,0.362341704,0.958091345,91.22932336,2,0.346993464,2,74.93693479,0.42354964,0.007422693,946.4901289,42.22660724,5.158831152,3.816042289,Suburban,High,0.356553688,9.693996761,14.03490889,0.954247897,38.22014792,45,Complex,13,22.37642596,2684.491504,0.073151891,None,0.169346232,2.620084532,High,26.67265806,57,84.00376866,0.241326116,8.741177257,286.9974509,331.1384891,Yes,3.565825649,0.300362153,9.631926283,High,Brake Systems,150.3305706,Basic,3.121149398,2.804135287,580.5443006,Low,1033.399567
Steel,0.728388656,5.94124814,137.4381439,25.57151491,50.55043044,CNC_1,Setting_3,0.009113611,ISO_9001,Major,0.964679778,0.989830988,0.334786016,9.980351298,0.687357297,0.02165414,5.182120981,None,0.931828712,2.260517237,0.020449366,0.819706139,18.85681107,19.95997018,316.3393334,0.556471892,9.798815307,Intermediate,65.2544049,0.847210391,0.743439802,17.24764291,19.41851062,38339.98826,0.269616989,4.913065526,0.186068963,Hydro,Day,0.016889809,35,0.04159836,0.600170358,13.9744352,0.972061112,51.57836382,1,1.281323743,2,94.36018541,1.079544508,0.082417968,94.56036482,193.2499609,11.0235169,6.670671758,Urban,Low,0.233055546,10.41507866,42.93068748,0.663917955,9.199805675,190,Moderate,18,13.43195899,4701.397907,0.071099359,Cardboard,1.476511084,0.870491248,Medium,19.94582505,20,78.50134885,0.79009559,4.689061513,964.8231742,455.3382375,No,0.625645313,0.311809988,10.29534311,High,Brake Systems,129.2468675,Moderate,2.435008511,3.981427315,687.1562356,Moderate,1189.511584
Plastic,0.909205841,8.002310916,88.83405875,20.02170618,54.63775264,CNC_1,Setting_2,0.027184799,ISO_9001,None,0.423844373,0.917498779,0.532601863,11.52111379,0.788854877,0.071045139,3.209917679,Basic,0.092555262,2.176661582,0.037839653,1.365604122,40.27258055,7.363425426,370.4330257,0.136122788,4.245380881,Beginner,36.25372932,0.947850089,0.738189672,49.73761982,2.382419994,48939.79497,0.566511461,5.503839682,0.1132493,Hydro,Night,0.064676297,32,0.25438899,0.814588585,16.37048795,0.915273056,52.69619148,1,0.052246409,2,92.56803806,1.224840223,0.079800886,734.729848,50.05410796,1.891943291,5.765721041,Suburban,Low,0.647170005,14.38158006,8.600641646,0.840382704,45.14449229,142,Moderate,1,13.22255285,1353.990442,0.023293936,None,3.647318782,4.561770121,Medium,23.49714866,78,46.70111862,0.887908833,3.228803003,334.5451134,448.4846386,No,11.56126713,0.305139981,11.69472802,Low,Brake Systems,181.8189691,Moderate,3.920274206,1.218077123,546.2396294,Moderate,866.8021771
Plastic,0.73369037,7.667704187,80.43922326,27.67310656,54.2474687,Milling_A,Setting_2,0.022224981,ISO_14001,Major,0.773108639,0.910462814,0.225546881,11.30419448,0.801371544,0.05901435,6.646708901,None,0.48954045,2.456923295,0.034121772,1.832028952,27.28187942,15.01415159,370.5355302,0.409545866,2.300779327,Intermediate,5.486706157,0.974023645,0.750929225,43.43547183,25.06468537,22044.71154,0.427467762,4.15955733,0.170141458,Wind,Evening,0.037156829,33,0.051594695,0.824250952,6.099596692,0.976155901,70.93704071,1,1.641755731,1,35.4814302,1.435021309,0.084773116,972.9316262,86.08913878,9.370906898,5.155484103,Suburban,High,0.199748363,5.07138154,8.790678859,0.274882324,39.27540494,453,Moderate,9,10.27301045,1607.594651,0.043937163,Cardboard,4.093150791,1.290606955,High,13.71201071,94,88.35237627,0.557719318,9.19539054,323.4003035,268.0717586,Partial,5.999171446,0.207107876,7.446564336,Moderate,Suspension,75.1870995,None,1.372077078,0.321983395,423.7300452,None,819.9199871
Aluminum,0.760875625,14.10738042,112.3528106,30.7843087,48.90686825,Lathe_B,Setting_2,0.008802562,ISO_9001,None,0.739641534,0.884559563,1.510076582,3.196207315,0.952322051,0.043444323,0.731168154,Advanced,0.358074053,3.980317282,0.021358042,0.955906374,38.32054598,19.35774052,213.9179855,0.226481098,3.272787533,Intermediate,38.19141687,0.955397284,0.669016938,25.89973372,33.35265554,12027.28582,0.842169083,1.68817578,0.159376359,Wind,Night,0.047229097,20,0.162214323,0.766462954,22.33438487,0.947141402,57.11620171,2,0.967128115,3,76.5860088,0.547155396,0.014098085,692.5763338,15.95238515,11.22874369,3.502726237,Suburban,High,0.369729575,8.031338111,46.63682096,0.923728911,20.56112682,406,Complex,4,26.58199919,1005.799439,0.007968126,Metal,3.109587264,0.568559276,Medium,28.08542705,41,50.39605643,0.189936484,5.866939636,589.5681721,123.1864181,Yes,10.72332064,0.286274908,1.315837775,Moderate,Brake Systems,199.9988195,Moderate,2.136904108,2.986143112,360.6969686,Low,949.7326541
Plastic,0.831968839,9.553308529,91.93307978,33.75870252,67.64417162,Milling_A,Setting_1,0.0061015,ISO_14001,Minor,0.568492868,0.879894888,0.037644388,3.560357032,0.778136684,0.017299614,2.055246943,None,0.871693732,2.555487013,0.008892954,1.803066108,13.18410586,11.08238887,295.6824125,0.074385073,5.870985834,Beginner,14.96862099,0.924807178,0.738170541,42.74063388,17.44360555,51.87431338,0.044762968,7.369944928,0.020776234,Solar,Evening,0.065037999,35,0.031320415,0.911563783,13.63763932,0.914117593,77.62392149,2,0.29415805,1,12.16835155,0.66477196,0.051829174,972.2942867,11.43634506,6.908158595,6.902694693,Suburban,Low,0.940078518,7.384695889,26.11810565,0.813883311,32.82381184,459,Complex,8,3.27971959,2942.351971,0.007225727,None,1.498172596,3.061367436,Medium,17.15175017,52,39.15873344,0.586099359,4.942148399,947.4254582,467.600802,No,0.431076848,0.16164111,1.218092862,Low,Brake Systems,95.70860979,None,1.732981881,3.57507771,368.3276849,Moderate,800.4349761
Aluminum,0.828265093,9.722045847,68.22174398,24.4559552,47.18592091,Lathe_A,Setting_1,0.040159048,None,Major,0.638707154,0.870054755,0.877330447,2.441352405,0.54314346,0.038460168,1.370267126,Advanced,0.791328613,1.151478239,0.013266956,1.542151057,35.36206896,15.95140178,132.7589749,0.461247474,0.875602861,Intermediate,78.19926897,0.802615594,0.536863247,18.61277816,49.19368853,38837.72958,0.474933019,1.001013045,0.113047592,Hydro,Evening,0.044494551,19,0.059205172,0.75680566,15.57314745,0.945951845,70.37660955,1,1.345724337,2,58.4043394,1.875208012,0.022262068,614.656018,176.1071393,7.433884053,6.292582669,Rural,Low,0.373666335,8.144034311,17.50109646,0.533382693,2.0146113,350,Complex,17,11.30341687,4214.271208,0.0255382,Metal,3.644526319,2.393203555,High,25.63130092,82,56.93257026,0.981220492,9.590011544,993.2643075,130.9598304,Partial,4.290090268,0.440614948,1.799369913,High,Suspension,57.17304565,None,3.344073921,1.707921215,584.6944397,None,709.708173
Steel,0.926205065,5.033876879,97.6000819,34.08425088,68.21020071,Milling_A,Setting_1,0.011299516,None,Minor,0.943522335,0.87040947,1.526625092,9.292610607,0.895691934,0.018696174,2.418693514,None,0.86361012,2.744670967,0.048404441,0.618426562,14.20449092,19.67439859,479.3002276,0.502201267,6.626144206,Expert,35.24868958,0.935627202,0.945867045,19.92497435,43.89356589,38394.99454,0.563240247,7.378118786,0.171148351,Wind,Day,0.076259772,1,0.055904455,0.845389722,14.03623416,0.98550201,74.28905845,2,0.790265667,1,65.33725374,1.63956698,0.082389078,121.6080196,68.19904266,11.39359126,3.083713068,Rural,Medium,0.366606464,17.63099982,21.57238182,0.216665368,23.55447671,234,Moderate,17,13.57240914,1346.65547,0.013305719,None,1.771746002,1.506431185,Low,27.15307791,32,16.53100419,0.468596158,2.4535761,635.7839638,422.2283362,Yes,6.619512697,0.256875526,19.38525694,Moderate,Electrical,75.33352307,None,3.543204421,3.656916857,379.1111787,Low,978.7107887
Composite,0.758212321,9.603370439,86.86900755,33.72768443,44.82812438,Lathe_A,Setting_3,0.052200655,ISO_9001,Major,0.888103263,0.964815318,1.553216657,11.98706012,0.849182267,0.058484072,0.598568539,Basic,0.472300887,1.751395294,0.022171173,0.781548417,28.16471002,13.26275006,296.5134049,0.555829122,6.295879588,Beginner,15.1183407,0.99297909,0.903507299,28.48693392,19.2885158,19583.0406,0.810454036,2.089227196,0.142590989,Hydro,Day,0.091535508,21,0.277902656,0.847309331,22.34409941,0.930892625,70.36874806,2,0.396221455,2,91.52890687,0.342814456,0.02428205,958.8208418,50.77652246,8.065378964,1.924905116,Urban,High,0.879245939,18.98777425,13.92163586,0.063389916,17.25037946,481,Complex,13,17.96029596,4196.871176,0.016118182,Metal,4.280031926,0.691903008,High,28.61921923,31,19.90990135,0.846147668,4.10245616,448.8798296,312.6553303,Yes,9.344880222,0.097104543,19.11621157,High,Brake Systems,50.68067592,None,3.470423608,0.691395087,307.4448415,Moderate,828.8475679
Plastic,0.862190717,13.3309217,97.33119946,34.26132181,56.7432231,Milling_A,Setting_2,0.000963475,ISO_14001,Major,0.787566097,0.882404901,0.744695664,7.840243835,0.740271173,0.083117723,5.567844757,Advanced,0.102076525,1.525871749,0.011900501,0.80230353,32.5458589,8.190376572,80.01120049,0.983521468,5.996606937,Expert,49.42346922,0.958706392,0.912952437,49.92136757,38.4594255,45234.47664,0.709374101,5.262167798,0.037003055,Wind,Evening,0.089001917,43,0.058098847,0.609295405,23.99154756,0.959288791,61.22999428,1,0.775162711,0,42.9830205,0.237246623,0.0258039,610.3755823,15.77217365,3.408711531,3.111842607,Suburban,Low,0.578008386,14.4504024,42.28553017,0.668117511,36.18369717,107,Moderate,14,11.28595682,3784.492304,0.031519703,Cardboard,2.380940298,1.269721305,Medium,15.30492884,14,93.75829496,0.281543859,0.84381582,743.8334433,450.5926634,No,10.59353832,0.249621506,12.43410979,Moderate,Electrical,146.9233482,Advanced,1.880365499,4.882066787,569.7519875,None,894.1541254
